,Graph
0,http://purl.org/dc/elements/1.1
1,http://uaontologies.com/DoD_TEMP_Framework/TEMP_Decision
2,http://uaontologies.com/DoD_TEMP_Framework/TEMP_ExecutionAndReporting
3,http://uaontologies.com/DoD_TEMP_Framework/TEMP_Organization
4,http://uaontologies.com/DoD_TEMP_Framework/TEMP_Responsibility
5,http://uaontologies.com/DoD_TEMP_Framework/TEMP_TEOversight
6,http://uaontologies.com/DoD_TEMP_Framework/TEMP_TestProgramFrameworks
7,http://uaontologies.com/DoD_TEMP_Framework/TEMP_TestProgramPolicy
8,http://uaontologies.com/DoD_TEMP_Framework/TEMP_TestProgramStructure
9,http://uaontologies.com/DoD_TEMP_Framework/TEMP_TestProgramTeams
10,http://uaontologies.com/DoD_TEMP_Framework/bundle
11,http://uaontologies.com/UA_Core/UA_Agent
12,http://uaontologies.com/UA_Core/UA_Event
13,http://uaontologies.com/UA_Core/UA_Information
14,http://uaontologies.com/UA_Core/UA_Measurement
15,http://uaontologies.com/UA_Core/UA_Provenance
16,http://uaontologies.com/UA_Core/bundle
17,http://uaontologies.com/UA_Domain/UA_Acquisition
18,http://uaontologies.com/UA_Domain/UA_BayesianNetworks
19,http://uaontologies.com/UA_Domain/UA_DataManagement
20,http://uaontologies.com/UA_Domain/UA_Materials
21,http://uaontologies.com/UA_Domain/UA_Mission
22,http://uaontologies.com/UA_Domain/UA_ModelingAndSimulation
23,http://uaontologies.com/UA_Domain/UA_OrbitsAndTrajectories
24,http://uaontologies.com/UA_Domain/UA_ProjectManagement
25,http://uaontologies.com/UA_Domain/UA_Requirements
26,http://uaontologies.com/UA_Domain/UA_Software
27,http://uaontologies.com/UA_Domain/UA_SystemArchitecture
28,http://uaontologies.com/UA_Domain/UA_Test
29,http://uaontologies.com/UA_Domain/bundle
30,http://uaontologies.com/UA_Foundation/UA_Foundation
31,http://uaontologies.com/UA_Foundation/bundle
32,http://uaontologies.com/UA_Libraries/Dimensions
33,http://uaontologies.com/UA_Libraries/Units
34,http://uaontologies.com/dTEMP_Rover/MR_Organization
35,http://uaontologies.com/dTEMP_Rover/MR_Project
36,http://uaontologies.com/dTEMP_Rover/MR_Requirements
37,http://uaontologies.com/dTEMP_Rover/MR_Schedule
38,http://uaontologies.com/dTEMP_Rover/MR_System
39,http://uaontologies.com/dTEMP_Rover/MR_TestProgram
40,http://uaontologies.com/dTEMP_Rover/MR_TestResults
41,http://uaontologies.com/dTEMP_Rover/MR_Tests
42,http://uaontologies.com/dTEMP_Rover/bundle
43,http://uaontologies.com/dTEMP_Rover/bundle/classes
44,http://uaontologies.com/dTEMP_Rover/bundle/individuals
45,http://uaontologies.com/dTEMP_Rover/bundle/properties
