,ITPName,DTPName,VM,VMName,TestSubjects,Site,Start,End
0,OSLM ITP,OSLM DTP,TE3,Pathway Creation Time Test,LSNDS,TE53_Environment,2024-07-01T12:00:00,2024-07-01T13:00:00
1,OSLM ITP,OSLM DTP,TE6,Path Confidence Test,LSNDS,TE6_Environment,2024-07-02T12:00:00,2024-07-02T13:00:00
2,OSLM ITP,OSLM DTP,TE8,Adaptability Simulation 2,LSNDS_PhysicsModel2,,2024-07-04T12:00:00,2024-07-04T13:00:00
3,OSLM ITP,OSLM DTP,TE4,Electrical Simulation,LSNDS_ElectricalModel1,,2024-07-05T12:00:00,2024-07-05T13:00:00
4,OSLM ITP,OSLM DTP,TE11,Path Accuracy Test,LSNDS,TE11_Environment,2024-07-06T12:00:00,2024-07-06T13:00:00
5,OSLM ITP,OSLM DTP,TE5,Maneuverability Test,LSNDS,TE53_Environment,2024-07-07T12:00:00,2024-07-07T13:00:00
6,OSLM ITP,OSLM DTP,TE10,Information Loss Test,LSNDS,TE10_Environment,2024-07-08T12:00:00,2024-07-08T13:00:00
7,OSLM ITP,OSLM DTP,TE7b,Adaptability Simulation 1b,LSNDS_PhysicsModel1,,2024-07-09T12:00:00,2024-07-09T13:00:00
8,OSLM ITP,OSLM OTP,TE2,Mission Capability Test,LSNDS,TE2_Environment,2024-08-01T12:00:00,2024-08-01T13:00:00
9,OSLM ITP,OSLM OTP,TE9,System Limit Test,LSNDS,TE9_Environment,2024-08-02T12:00:00,2024-08-02T13:00:00
